"study","es_id","yi","vi","target_group","format","diagnosis","type","control","region","risk_of_bias"
"weissman, 1979",1136,0.882919417239354,0.181062271028385,"adults","individual","diagnosis","not-cbt-based","other ctr","north america","some concern"
"wiersma, 2014",1140,0.548171553720297,0.0399419762001176,"adults","individual","diagnosis","not-cbt-based","cau","europe","low"
"williams, 2013a",1148,0.935515710663847,0.10627805081046,"adults","guided self-help","diagnosis","cbt-based","wl","australia","low"
"williams, 2013a",1149,0.965259309648182,0.106977232423712,"adults","guided self-help","diagnosis","cbt-based","wl","australia","low"
"williams, 2013a",1150,0.939489621347124,0.106370198908294,"adults","guided self-help","diagnosis","cbt-based","wl","australia","low"
"williams, 2013b",1152,0.229140576844467,0.0143289864871375,"adults","guided self-help","cut-off score","cbt-based","cau","europe","some concern"
"williams, 2018",1154,0.681025324678821,0.0409535008019088,"adults","group","cut-off score","cbt-based","wl","europe","low"
"williams, 2018",1155,0.640854072017088,0.0406943992815251,"adults","group","cut-off score","cbt-based","wl","europe","low"
"wong, 2008a",1175,0.740583073369718,0.0132799379069371,"adults","group","cut-off score","cbt-based","wl","east asia","some concern"
"wong, 2008b",1176,0.75891536764192,0.0491637949475798,"adults","group","diagnosis","cbt-based","wl","east asia","some concern"
"wong, 2018",1177,0.192512298517246,0.0173970890333585,"adults","group","subclinical depression","cbt-based","cau","east asia","low"
"yeung, 2017",1192,0.606455549420687,0.0688258864826729,"adults","guided self-help","cut-off score","cbt-based","wl","east asia","some concern"
